iter	MultiLogloss
137	0.4290373789
138	0.4281539596
139	0.4273410209
140	0.4266139408
141	0.4258746096
142	0.4251359841
143	0.4244266483
144	0.4236038417
145	0.422884323
146	0.4220351812
147	0.4212358161
148	0.4205771217
149	0.4197650096
150	0.4189826679
151	0.4183449077
152	0.4176418745
153	0.4168718238
154	0.4161000756
155	0.4153747361
156	0.4146277241
157	0.4138463773
158	0.4131097826
159	0.4125361318
160	0.4118180944
161	0.4110993656
162	0.4104026793
163	0.4097004149
164	0.4090467436
165	0.4083734959
166	0.407740892
167	0.4070781569
168	0.4063354603
169	0.4056934597
170	0.4051144603
171	0.4045421237
172	0.4039910867
173	0.4034381901
174	0.4028164055
175	0.4022962354
176	0.4016485026
177	0.4010290511
178	0.40040061
179	0.3997992547
180	0.3991903676
181	0.3986375787
182	0.3980647829
183	0.3974511538
184	0.3968330883
185	0.3962040815
186	0.3955911611
187	0.394994234
188	0.3943615361
189	0.3937933696
190	0.3932417884
191	0.3926450707
192	0.3920651482
193	0.3915154771
194	0.3909405711
195	0.3903612426
196	0.3898052889
197	0.3892454872
198	0.3886807256
199	0.3881691448
200	0.3876485897
201	0.3870896592
202	0.3865438775
203	0.3860941878
204	0.3855531027
205	0.3850347307
206	0.3845383518
207	0.384136269
208	0.3835732579
209	0.3830036266
210	0.3824834892
211	0.3820007175
212	0.3815425862
213	0.3811507062
214	0.3807075481
215	0.3802102409
216	0.3797432364
217	0.3793180113
218	0.3788581537
219	0.3783939538
220	0.3779121885
221	0.3774601576
222	0.3769794787
223	0.3765062701
224	0.3760507715
225	0.375611229
226	0.3751061668
227	0.3746688515
228	0.3742318245
229	0.3737337043
230	0.3732920814
231	0.3728674447
232	0.3724297796
233	0.3719457374
234	0.3714993991
235	0.3710885306
236	0.3706781019
237	0.3702052088
238	0.3697901901
239	0.3693800806
240	0.3689246854
241	0.3684870156
242	0.3680673764
243	0.3676168175
244	0.3672603789
245	0.3668560321
246	0.366559455
247	0.3661382592
248	0.365736402
249	0.3653172058
250	0.3649082933
251	0.3645331705
252	0.3641258319
253	0.3636856068
254	0.3632691617
255	0.3628532896
256	0.362483307
257	0.3620852841
258	0.3617100002
259	0.3613215834
260	0.3609709958
261	0.3605436665
262	0.360172784
263	0.359769727
264	0.3593959058
265	0.3590195118
266	0.3586428736
267	0.3582853831
268	0.3579020139
269	0.3575388312
270	0.3572005617
271	0.3568533147
272	0.3564841413
273	0.3561252736
274	0.355773474
275	0.3553620563
276	0.3550034882
277	0.3546650858
278	0.3543505928
279	0.3540402732
280	0.3537028225
281	0.3533345671
282	0.3529829989
283	0.3526443034
284	0.3523140675
285	0.35199564
286	0.3516687178
287	0.3513606315
288	0.3510269804
289	0.3506728779
290	0.3503294883
291	0.3500317457
292	0.3496963389
293	0.3493514217
294	0.3490486135
295	0.3487087628
296	0.3483723377
297	0.3480635136
298	0.3477524879
299	0.3474223353
300	0.3470980758
301	0.3467716539
302	0.3464510222
303	0.3461321439
304	0.3458126051
305	0.3455205146
306	0.3452032965
307	0.3448749115
308	0.3445384924
309	0.3442087138
310	0.3439071766
311	0.3436421291
312	0.3433337742
313	0.3430680189
314	0.3427885998
315	0.3424872726
316	0.3421916909
317	0.3419220657
318	0.341573695
319	0.3412921303
320	0.3410084881
321	0.3407456336
322	0.3404461856
323	0.3401216494
324	0.3398612246
325	0.3395886035
326	0.3392800625
327	0.3390154247
328	0.3387398109
329	0.338492174
330	0.3382320312
331	0.3379453174
332	0.3376489626
333	0.3373531493
334	0.337099932
335	0.3368446352
336	0.3366190489
337	0.3363467961
338	0.3360796451
339	0.3357857036
340	0.3355367416
341	0.3352894713
342	0.3349882704
343	0.3347059391
344	0.3344393923
345	0.3342016664
346	0.3339584476
347	0.3337294784
348	0.3334734699
349	0.333203917
350	0.3329690607
351	0.3327419745
352	0.3324777147
353	0.3322270867
354	0.3319891509
355	0.3317410307
356	0.3315419233
357	0.3313205216
358	0.3310633543
359	0.3308243736
360	0.3305836514
361	0.3303424172
362	0.3301055912
363	0.3298600544
364	0.3295980797
365	0.3293285946
366	0.329088586
367	0.3287818098
368	0.3285364916
369	0.328268367
370	0.3280503849
371	0.3278152578
372	0.3276285438
373	0.3274306743
374	0.3271994899
375	0.3269835686
376	0.3268154479
377	0.3265586414
378	0.3263600725
379	0.3261291256
380	0.3259048963
381	0.3256667327
382	0.3253958511
383	0.3251414802
384	0.3249075545
385	0.3246695519
386	0.3244744064
387	0.3242726383
388	0.3240869429
389	0.3238503626
390	0.3236148063
391	0.3234310937
392	0.3231853043
393	0.322945279
394	0.322705017
395	0.3224828463
396	0.3223130699
397	0.322073238
398	0.3218500113
399	0.3216565475
400	0.3214606227
401	0.3212587293
402	0.321066367
403	0.3208750188
404	0.3206773372
405	0.3204955169
406	0.3203082139
407	0.3201144236
408	0.3199041859
409	0.3196930884
410	0.3194681908
411	0.3192756968
412	0.3190778242
413	0.3188646073
414	0.3186943715
415	0.3184946213
416	0.3182551367
417	0.318051871
418	0.3178772499
419	0.3176789621
420	0.3174959896
421	0.3173057806
422	0.3170906293
423	0.3169165836
424	0.3167204256
425	0.3165165035
426	0.3163199535
427	0.3161385515
428	0.315934422
429	0.3157702986
430	0.31558193
431	0.3154256481
432	0.3152391161
433	0.3150683763
434	0.3149307751
435	0.3147831861
436	0.3146613444
437	0.3145142673
438	0.3143343823
439	0.3141902187
440	0.3140084992
441	0.3137886721
442	0.3136231916
443	0.3134657746
444	0.3133125329
445	0.3131186469
446	0.3129399904
447	0.3127635595
448	0.3125926146
449	0.3124369186
450	0.312265986
451	0.3120834786
452	0.3119335498
453	0.3117872327
454	0.3116519721
455	0.3114720982
456	0.3112974926
457	0.3110967722
458	0.310922333
459	0.3107235265
460	0.3105319169
461	0.3103749963
462	0.3101997669
463	0.3100523996
464	0.3099322517
465	0.3097740035
466	0.3095850165
467	0.309433122
468	0.3092744943
469	0.309116793
470	0.3089508055
471	0.3087674974
472	0.3086416547
473	0.3084839225
474	0.3083126514
475	0.3081427036
476	0.3079888063
477	0.3077830827
478	0.307629578
479	0.3074977412
480	0.3073529662
481	0.3071952134
482	0.3070553696
483	0.3068967275
484	0.3067385873
485	0.3065792917
486	0.3063989814
487	0.3062255715
488	0.3060687046
489	0.3058725247
490	0.3057301215
491	0.3056139277
492	0.3054613791
493	0.3053391647
494	0.3052011591
495	0.3050636447
496	0.3049296937
497	0.3047868363
498	0.3046558402
499	0.3045125974
500	0.3043900865
501	0.3042204108
502	0.3040669741
503	0.3039147845
504	0.3037744002
505	0.3036243521
506	0.3034985672
507	0.3033219644
508	0.3032066278
509	0.3030481004
510	0.3028789713
511	0.3027447913
512	0.3026055949
513	0.302455174
514	0.3022947904
515	0.3021568182
516	0.3020024115
517	0.3018052067
518	0.3016771583
519	0.301549319
520	0.301442334
521	0.3013289415
522	0.3011630994
523	0.3010472224
524	0.3009132437
525	0.3007824786
526	0.3006263468
527	0.3005138134
528	0.3003644796
529	0.3002434359
530	0.3001549871
531	0.3000434832
532	0.2998791644
533	0.2997315299
534	0.2995846181
535	0.2994413603
536	0.2993336165
537	0.2991705053
538	0.2990226695
539	0.2988878663
540	0.2987295754
541	0.298578428
542	0.2984664812
543	0.2983984035
544	0.2983056234
545	0.2981893605
546	0.2979854312
547	0.2978401844
548	0.2976831354
549	0.2975381551
550	0.2974307551
551	0.2973011385
552	0.2971478898
553	0.2969850381
554	0.2968303658
555	0.2966872696
556	0.2965701945
557	0.2964535672
558	0.2963214049
559	0.2962094417
560	0.2960959923
561	0.2959814393
562	0.2958543242
563	0.2957231199
564	0.2955782042
565	0.2954746296
566	0.2953236622
567	0.2951414497
568	0.2950022954
569	0.2948804496
570	0.2947684822
571	0.2946569119
572	0.2945392771
573	0.2943876457
574	0.2942629463
575	0.2941195361
576	0.2939909543
577	0.293884902
578	0.2937787376
579	0.2936301827
580	0.2935127964
581	0.293386974
582	0.2932482645
583	0.2931102387
584	0.2929794229
585	0.2928315335
586	0.2926980964
587	0.2925573206
588	0.2924163626
589	0.2923172249
590	0.2922270089
591	0.2920954474
592	0.2919544895
593	0.2918160079
594	0.2916790578
595	0.2915721652
596	0.2914408695
597	0.2912999032
598	0.2911710511
599	0.2910174763
600	0.2908773311
601	0.2907384222
602	0.2906053594
603	0.2904694308
604	0.290334401
605	0.2902134709
606	0.2900766062
607	0.2899597896
608	0.289857323
609	0.2897608765
610	0.2896303671
611	0.2895354969
612	0.2894254563
613	0.2893382146
614	0.2892276862
615	0.2891347653
616	0.289024699
617	0.2888742205
618	0.2887425847
619	0.2886356618
620	0.28853255
621	0.2884308751
622	0.2882944983
623	0.2882067748
624	0.2880823261
625	0.2879770702
626	0.2878466096
627	0.2877163663
628	0.2876041097
629	0.287470076
630	0.2873601744
631	0.2872781547
632	0.2871496931
633	0.2870403646
634	0.2868850067
635	0.286802037
636	0.2867086948
637	0.2866084623
638	0.2864830727
639	0.2863635396
640	0.2862878189
641	0.2862162877
642	0.2860917854
643	0.2859890237
644	0.2858418347
645	0.2857526375
646	0.2856695796
647	0.2855922039
648	0.2854862607
649	0.2853804179
650	0.2852908779
651	0.2851590236
652	0.2850341628
653	0.2849039842
654	0.2847875165
655	0.2846807118
656	0.2845530091
657	0.2844817012
658	0.2843594649
659	0.2842744777
660	0.2841738702
661	0.2840592332
662	0.2839586011
663	0.2838818612
664	0.2837773621
665	0.283698825
666	0.2836168199
667	0.2834856818
668	0.2834273217
669	0.2832900473
670	0.2832136152
671	0.2830534059
672	0.2829492759
673	0.2828698459
674	0.2827902809
675	0.2826722841
676	0.2825538053
677	0.2824487466
678	0.2823504216
679	0.2823043762
680	0.2822032714
681	0.2821307856
682	0.2820115953
683	0.2819406737
684	0.2818389541
685	0.2817163259
686	0.2816446957
687	0.2815216729
688	0.2813692838
689	0.2812455776
690	0.2811430962
691	0.2810633705
692	0.2809688153
693	0.2808506911
694	0.2807424952
695	0.280663928
696	0.2805695739
697	0.2804917784
698	0.2803892881
699	0.2803277465
700	0.2802253483
701	0.2801001958
702	0.2800058353
703	0.2798896776
704	0.2797858778
705	0.279674785
706	0.2795418323
707	0.2794368699
708	0.2793104671
709	0.2792282212
710	0.2791429688
711	0.2790562889
712	0.2789125359
713	0.2788309251
714	0.2787695175
715	0.2786876855
716	0.2785810696
717	0.2784920482
718	0.2784088767
719	0.2782899168
720	0.2781942528
721	0.2780678963
722	0.2779954513
723	0.2778946486
724	0.2777618638
725	0.2776761401
726	0.2775816011
727	0.2775120915
728	0.2773960245
729	0.2773128678
730	0.2771836269
731	0.2770840199
732	0.2769960233
733	0.2768959021
734	0.2767994022
735	0.2766744315
736	0.2766064156
737	0.2764832634
738	0.2764006762
739	0.2763214248
740	0.276213358
741	0.2761426203
742	0.2760446876
743	0.275972953
744	0.2758654363
745	0.2757585394
746	0.2756573314
747	0.2755615614
748	0.2754688862
749	0.2754033477
750	0.2753146808
751	0.275210326
752	0.2750784683
753	0.2749904006
754	0.2749000007
755	0.2747873126
756	0.2746624671
757	0.2745827926
758	0.2744748008
759	0.2743313167
760	0.2742789498
761	0.274213819
762	0.2741079763
763	0.2740310521
764	0.2739207521
765	0.2738274848
766	0.2737030734
767	0.2736011744
768	0.2734929391
769	0.2733920111
770	0.2733237072
771	0.2731992868
772	0.2731182177
773	0.2729989907
774	0.272912132
775	0.2728220794
776	0.272759031
777	0.272689992
778	0.2726173349
779	0.2725003129
780	0.2723816915
781	0.2722756511
782	0.2721989875
783	0.272096217
784	0.2720049678
785	0.2719164801
786	0.2718337295
787	0.2717454732
788	0.2716663105
789	0.2715806906
790	0.2714988479
791	0.2714019746
792	0.2713167325
793	0.2712516441
794	0.2711797937
795	0.2711152965
796	0.2710417079
797	0.2709274519
798	0.2708343468
799	0.2706965734
800	0.2706025201
801	0.2705231641
802	0.270399915
803	0.27028399
804	0.2701981192
805	0.2701055323
806	0.2700109507
807	0.2699590446
808	0.2698641538
809	0.2697466604
810	0.2696323297
811	0.2695801473
812	0.2694985388
813	0.2694012849
814	0.269286398
815	0.2691879291
816	0.2691000769
817	0.2690379939
818	0.2689628054
819	0.268870059
820	0.2687676722
821	0.2686630636
822	0.2685861868
823	0.2684623639
824	0.2683953643
825	0.2683208689
826	0.2682466363
827	0.2681673599
828	0.2680990845
829	0.2680134857
830	0.267946789
831	0.2678716285
832	0.2677871991
833	0.2677000861
834	0.2676356822
835	0.2675497391
836	0.2674208943
837	0.2673665226
838	0.2672954972
839	0.2672216166
840	0.2671386702
841	0.2670616816
842	0.266988203
843	0.2668896898
844	0.2668116288
845	0.2667405453
846	0.2666888327
847	0.2666245569
848	0.2665082881
849	0.2664186825
850	0.2663441673
851	0.2662468936
852	0.2661647611
853	0.2660771205
854	0.2659574711
855	0.2658649851
856	0.2657452836
857	0.2656398324
858	0.2655439434
859	0.2654762103
860	0.2654330735
861	0.2653574032
862	0.2652859484
863	0.2652318658
864	0.2651608951
865	0.2651093712
866	0.2650231231
867	0.2649909619
868	0.2649361701
869	0.2648588764
870	0.2647752779
871	0.2646488427
872	0.2645746985
873	0.2644959
874	0.2644312061
875	0.2643259099
876	0.2642629441
877	0.2641994328
878	0.2641386342
879	0.264031484
880	0.2639924946
881	0.263934623
882	0.2638590826
883	0.2637700388
884	0.263686863
885	0.2636214235
886	0.2635335569
887	0.2634504172
888	0.2633712376
889	0.2633004492
890	0.2632269632
891	0.2631295616
892	0.2630778212
893	0.2629899662
894	0.2629308403
895	0.2628720664
896	0.2627924532
897	0.2627242844
898	0.2626117239
899	0.2625391759
900	0.2624858722
901	0.2624203937
902	0.2623695427
903	0.2622809549
904	0.262208368
905	0.2621307656
906	0.2620703601
907	0.2619965812
908	0.2619616442
909	0.2618376353
910	0.2617811521
911	0.2617238683
912	0.2616565324
913	0.2615654527
914	0.2614999839
915	0.2614041752
916	0.261322045
917	0.261224288
918	0.2611480603
919	0.2610502026
920	0.2609462932
921	0.2608721145
922	0.2607800051
923	0.2606902075
924	0.2606161137
925	0.260533329
926	0.2604523868
927	0.2603483648
928	0.2602493942
929	0.2601793816
930	0.2600663161
931	0.2600112925
932	0.2598991164
933	0.2598305244
934	0.2597472946
935	0.2596698647
936	0.259581741
937	0.2594983903
938	0.2594282441
939	0.2593272222
940	0.2592683077
941	0.2591751506
942	0.2590630222
943	0.2590230411
944	0.2589658836
945	0.258892702
946	0.2588215714
947	0.2587671412
948	0.2587282912
949	0.2586723718
950	0.2585669442
951	0.2585234734
952	0.2584209702
953	0.2583366485
954	0.2582725777
955	0.2581952379
956	0.2581208692
957	0.2580852708
958	0.2579883877
959	0.2579243488
960	0.2578305796
961	0.2577537799
962	0.2577038164
963	0.2576195298
964	0.2575393319
965	0.2574706896
966	0.2574106682
967	0.2573294169
968	0.2572397915
969	0.2571860976
970	0.2570857258
971	0.2570249946
972	0.2569551548
973	0.2568909979
974	0.2568175322
975	0.2567293238
976	0.2566743215
977	0.25659632
978	0.2565369191
979	0.2564204182
980	0.2563735713
981	0.2563168153
982	0.2562192337
983	0.2561688959
984	0.2560986775
985	0.2560623101
986	0.2560297018
987	0.2559071506
988	0.2558608964
989	0.255785252
990	0.2556997367
991	0.2556585784
992	0.2556109911
993	0.2555038492
994	0.2554120608
995	0.255345043
996	0.2553049115
997	0.2552220907
998	0.2551699194
999	0.2550961522
